epid,country,first_name,last_name,birthdate,gender,eugroup
119436,HR,Ivana,MALETIĆ,1973-10-12,F,PPE
96798,GB,John,BUFTON,1962-08-31,M,EFD
96717,CZ,Robert,DUŠEK,1967-03-14,M,S&D
97058,BE,Guy,VERHOFSTADT,1953-04-11,M,ALDE
96897,GB,John Stuart,AGNEW,1949-08-30,M,EFD
96976,PT,Luís Paulo,ALVES,1961-09-19,M,S&D
96808,ES,Pablo,ARIAS ECHEVERRÍA,1970-06-30,M,PPE
5956,PT,Regina,BASTOS,1960-11-04,F,PPE
96955,GB,Catherine,BEARDER,1949-01-14,F,ALDE
96738,FR,Sandrine,BÉLIER,1973-09-02,F,Verts/ALE
96705,DK,Bendt,BENDTSEN,1954-03-25,M,PPE
96922,ES,Izaskun,BILBAO BARANDICA,1961-03-27,F,ALDE
97198,IT,Mara,BIZZOTTO,1972-06-03,F,EFD
96681,LT,Vilija,BLINKEVIČIŪTĖ,1960-03-03,F,S&D
96799,PL,Piotr,BORYS,1976-01-11,M,PPE
96719,CZ,Andrea,ČEŠKOVÁ,1971-10-18,F,ECR
96603,IE,Nessa,CHILDERS,1956-10-09,F,Array
28493,GB,Derek Roland,CLARK,1933-10-10,M,EFD
96915,IT,Sergio Gaetano,COFFERATI,1948-01-30,M,S&D
96975,PT,António Fernando,CORREIA DE CAMPOS,1942-12-14,M,S&D
96917,IT,Silvia,COSTA,1949-06-12,F,S&D
96951,GB,Diane,DODDS,1958-08-16,F,Array
96888,IT,Leonardo,DOMENICI,1955-07-12,M,S&D
96692,LT,Leonidas,DONSKIS,1962-08-13,M,ALDE
96787,IT,Herbert,DORFMANN,1969-03-04,M,PPE
39769,AT,Martin,EHRENHAUSER,1978-09-18,M,Array
96682,FI,Sari,ESSAYAH,1967-02-21,F,PPE
96811,ES,Rosa,ESTARÀS FERRAGUT,1965-10-21,F,PPE
96977,PT,Diogo,FEIO,1970-10-06,M,PPE
96899,PT,José Manuel,FERNANDES,1967-07-26,M,PPE
96833,DE,Jens,GEIER,1961-06-22,M,S&D
96730,DE,Sven,GIEGOLD,1969-11-17,M,Verts/ALE
97004,LV,Ivars,GODMANIS,1951-11-27,M,ALDE
97137,FR,Sylvie,GOULARD,1964-12-06,F,ALDE
96753,PL,Jolanta Emilia,HIBNER,1951-01-26,F,PPE
96950,FR,Liem,HOANG NGOC,1964-12-11,M,S&D
34235,BG,Stanimir,ILCHEV,1953-07-31,M,ALDE
105192,ES,María,IRIGOYEN PÉREZ,1952-10-01,F,S&D
28424,EE,Tunne,KELAM,1936-07-10,M,PPE
96668,IE,Seán,KELLY,1952-04-26,M,PPE
96769,DE,Jürgen,KLUTE,1953-10-13,M,GUE/NGL
102887,HU,Béla,KOVÁCS,1960-02-25,M,Array
96651,SK,Eduard,KUKAN,1939-12-26,M,PPE
96765,ES,Verónica,LOPE FONTAGNÉ,1952-02-01,F,PPE
96854,DE,Sabine,LÖSING,1955-11-30,F,GUE/NGL
96675,SE,Isabella,LÖVIN,1963-02-03,F,Verts/ALE
96673,SE,Olle,LUDVIGSSON,1948-10-28,M,S&D
96792,PL,Bogdan Kazimierz,MARCINKIEWICZ,1966-03-21,M,PPE
96652,SK,Alajos,MÉSZÁROS,1952-06-18,M,PPE
28255,AT,Andreas,MÖLZER,1952-12-02,M,Array
96695,LT,Radvilė,MORKŪNAITĖ-MIKULĖNIENĖ,1984-01-02,F,PPE
96760,IT,Tiziano,MOTTI,1966-02-07,M,PPE
96701,ES,María,MUÑIZ DE URQUIZA,1962-08-05,F,S&D
96844,DE,Norbert,NEUSER,1949-03-22,M,S&D
96861,BG,Nadezhda,NEYNSKY,1962-08-09,F,PPE
111024,SE,Jens,NILSSON,1948-09-25,M,S&D
96805,GB,Paul,NUTTALL,1976-11-30,M,EFD
40599,FI,Sirpa,PIETIKÄINEN,1959-04-19,F,PPE
96715,CZ,Pavel,POC,1964-05-26,M,S&D
96931,FR,Maurice,PONGA,1947-06-05,M,PPE
96801,PL,Tomasz Piotr,PORĘBA,1973-03-31,M,ECR
96838,RO,Cristian Dan,PREDA,1966-10-26,M,PPE
107386,IE,Phil,PRENDERGAST,1959-09-20,F,S&D
108080,FR,Franck,PROUST,1963-05-02,M,PPE
